agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
7,72073700008,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72140700008,97.2151898734177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,723-2711801,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,725-1567314,95.6521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,733-0886403,99.6336996336996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,734-1691741,97.5708502024291,,,,,,,,,73.1277533039648,,,,,,,,,,,,,,,,,,,
7,736-4226027,100.0,,,,,78.9196310935441,,,,,,,,,,,,,,,,,,,,,,,
7,73833709994,99.5712754555198,,,,,65.0635208711434,,,,,,,,,,,,,,,,,,,,,,,
7,741-1718186,99.5121951219512,,,,,222.550831792976,,,,,,,,,,,,,,,,,,,,,,,
7,745-3508295,96.969696969697,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
7,74725909994,95.9266802443992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,751-0488301,95.5208333333333,,,,,201900.0,,,,,,,,,,,,,,,,,,,,,,,
7,754-1870627,100.0,,,,,35.8148893360161,,,,,,,,,,,,,,,,,,,,,,,
7,754-1969262,100.0,,,,,47.0468431771894,,,,,,,,,,,,,,,,,,,,,,,
7,75785509997,99.6376811594203,,,,,31.3065976714101,,,,,,,,,,,,,,,,,,,,,,,
7,759-2472569,98.5507246376812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,765-0763054,100.0,,,,,197.674418604651,,,,,,,,,,,,,,,,,,,,,,,
7,765-1318080,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77020900006,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77066500003,96.6981132075472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77079500000,98.780487804878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77126700006,95.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77272800006,96.875,,,,,147.487001733102,,,,,,,,,,,,,,,,,,,,,,,29.8319327731092
7,775-2269700,96.3888888888889,,,,,,,,,,,,,,,,,,,,,96.7153284671533,,,,,,,
7,775-2623852,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77559200004,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77734800004,96.4467005076142,,,,,59.1118558860494,,,,,,,,,,,,,,,,,,,,,,,
7,77884700008,98.4848484848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,784-1674410,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,787-0691650,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,795-4399912,98.9130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,904-3588591,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-0013136,97.1153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-1671394,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-2784791,97.2222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-4648575,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-5284590,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-5832291,96.969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926-2931598,95.9183673469388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,931-1406492,97.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,933-0875305,96.1722488038278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,952-1075143,97.2972972972973,,,,,,98.4126984126984,98.7393464609388,,,,,,,,,,,,,,,,,,,,,
9,958-2539277,98.2378854625551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,965-0904482,98.2758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000021930,,35.9848484848485,,,,38.2198952879581,,,,,,,,,,,,,,,,,,,,,,,
9,947-0896939,,44.4444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000009123,,15.7894736842105,,,,,7.17703349282297,48.6213703515028,,44.0191387559809,,,,,,,,,,,,,,,,,,,32.0574162679426
5,50000008111,,20.7363248207524,,,,42.3509174311927,,,,,,,,,,,,,,,,,,,,,,,
9,926-1917078,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000063958,,20.1160541586073,,,,69.5081967213115,,,,,,,,,,,,,,,,,,,,,,,39.0715667311412
3,30000034786,,25.0,,,,,35.0,56.324835417311,,,,,,,,,,,,,,,,,,,,,47.5
5,50000008169,,32.4742268041237,,,,,,,,,,,,,,,2.56410256410256,,,,,,,,,,,,
5,50000060712,,18.6440677966102,,,,,6.77966101694915,12.258191867351,,,,,,,,,,,,,,,,,,,,,
3,330-0046798,,17.1052631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000010878,,27.2727272727273,,,,,,,,45.4545454545455,,,,,,,,,,,,,,,,,,,
3,30000021448,,25.0,,,,,25.0,56.1324303987961,,,,,,,,,,,,,,,,,,,,,
3,30000013000,,18.1818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066973,,20.2970297029703,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0337078651685
9,90000060143,,20.6451612903226,,,,81.9873997709049,,,,,,,,,,,,,,,,,,,,,,,
3,30000024272,,50.0,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,66.6666666666667,66.6666666666667,66.6666666666667
9,90003441677,,34.9336870026525,,,,105.561613958561,,,,,,,,,,,,,,,,,,,,,,,
5,50000060438,,17.2413793103448,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068395,,15.3153153153153,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,999-0705551,,35.8395989974937,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000021158,,26.6666666666667,,,,,,,,86.6666666666667,,,,,,,,,,,,,,,,,,,
5,50000007992,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
5,50000005852,,28.9473684210526,,,16.5562913907285,,,,,,,,,,,,,,,,,,,,,,,,
3,30000091005,,20.7792207792208,,,,,2.5974025974026,17.148178214985,,,,,,,,,,,,,,,,,,,,,
9,942-1570515,,24.465008675535,,,,638.888888888889,,,,,,,,,,,,,,,,,,,,,,,22.2672064777328
3,30000057611,,50.0,,,,,25.0,10.414827890556,,,,,,,,,,,,,,,,,,,,,50.0
