agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
3,30000057540,98.7012987012987,,,,,,,,,,,,,,,,,2.05128205128205,,,,,,,,,,,,
3,30000057898,95.3488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057904,100.0,,,,,,22.5,63.4183269674134,,,,,,,,,,,,,,,,,,26.0,40.0,65.0,65.0,65.0
3,30000058014,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058154,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6666666666667
3,30000058245,100.0,,,,,,,,,66.304347826087,,,,,,,,,,,,,,,,,,,,31.5217391304348
3,30000058329,100.0,,,,,,,,,,,,,,,,,,,,,,,,,45.0,46.0,97.8260869565217,97.8260869565217,97.8260869565217
3,30000058438,100.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,33.0,75.7575757575758,75.7575757575758,75.7575757575758
3,30000058599,100.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,45.0,71.1111111111111,71.1111111111111,71.1111111111111
3,30000058608,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5531914893617
3,30000058629,95.7142857142857,,,,,,2.56410256410256,20.4729044706806,,,,,,,,,,,,,,,,,,,,,,30.7692307692308
3,30000058739,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1428571428571
3,30000058935,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,358-2642920,96.1538461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000001454,100.0,,,,,,,,,,,,,,,,,,,,,,,,,129.0,198.0,65.1515151515152,64.6464646464647,64.6464646464647
5,50000001717,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000002073,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000003830,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000005286,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007590,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007875,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000008854,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000009488,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000009604,97.0588235294118,,,,,,,,,46.5909090909091,,,,,,,,,,,,,,,,,,,,
5,50000010023,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000013345,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000014176,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000020558,96.6666666666667,,,,,,,,,,,,,,,,,2.48447204968944,,,,,,,,,,,,
5,50000024584,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024693,95.5017301038062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024748,98.989898989899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
