year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2009,4,5.0,2.0,,,,,,,1.0,,4.0,1.0,1.0,,94.0,1.0,,,,,,,,40000003536
2009,3,16.0,,,,,,,2.0,,,,,,,23.0,,,,,6.0,,,,30000009788
2009,5,12.0,,,,,,,,,,,,,,,,,,,,,,,50000068421
2009,3,7.0,,,,,,,4.0,,,2.0,2.0,,,60.0,,,,1.0,82.0,2.0,,,30000009064
2009,2,1.0,443.0,81.0,1.0,,,2.0,24.0,25.0,10.0,37.0,274.0,49.0,20.0,8620.0,,,,,275.0,2.0,,,20000233031
2009,5,28.0,,,,,,,,10.0,,1.0,,,,4.0,,,,,,,,,50000001472
2009,5,20.0,,,,,,1.0,1.0,,,,,,,31.0,,,,,,,,,50000068485
2009,3,24.0,,,,,,2.0,1.0,1.0,,4.0,,,2.0,106.0,,,,,6.0,,,,30000010619
2009,5,2.0,,,,,,,1.0,,,1.0,,,,5.0,,,,,,,,,50000064880
2009,2,1.0,3.0,,,,,,,,,172.0,2.0,,1.0,24.0,,,,,,,,,20002522533
2009,7,1.0,,,,,,,,,,1.0,,,,96.0,,,,,,,,,776-0629353
2009,4,30.0,,,,,,,,,,,,,,56.0,,,,,,,,,452-1982006
2009,7,30.0,,,,,,2.0,21.0,,,2.0,,,,290.0,,,,,,,,,720-3757393
2009,2,50.0,74.0,9.0,68.0,,1.0,113.0,46.0,25.0,1.0,19.0,2.0,11.0,1.0,2198.0,,,,,4.0,1.0,,,20000501105
2009,4,3.0,6.0,,103.0,,,3.0,,1.0,,2.0,1.0,,,1318.0,1.0,,,,,,,,40000006051
2009,1,110.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,,10000014510
2009,3,2.0,,,,,,3.0,1.0,,,,,,,7.0,,,,,2.0,,,,30000000686
2009,1,17.0,,,,,,,,,,,,,,1.0,,,,,3.0,,,,10000011412
2009,4,71.0,2.0,1.0,,,,32.0,6.0,10.0,,19.0,2.0,1.0,2.0,435.0,,,,,,1.0,,,40000004474
2009,2,16.0,3.0,,,,,12.0,4.0,3.0,,4.0,1.0,,10.0,119.0,,,,1.0,11.0,1.0,,,20000074140
2009,4,23.0,7.0,1.0,1.0,,,,,,,,6.0,,,17.0,,,,,,,,,40000005991
2009,7,2.0,,,,,,,,,,,,,,,,,,,,,,,73833409991
2009,3,79.0,,,,,,1.0,,,,3.0,,,,10.0,,,,,3.0,,,,30000019980
2009,3,2.0,3.0,,,,,1.0,1.0,2.0,,,,,,49.0,,,,,6.0,,,,30000020134
2009,4,4.0,2.0,,,,,,,8.0,,4.0,62.0,,,137.0,,,,2.0,3.0,1.0,,,40000002818
2009,7,24.0,,,,,,,1.0,,,,,,,32.0,,,,,,,,,77909900008
2009,3,59.0,,,,,,,,,,,,,,,,,,,,,,,30000014361
2009,3,10.0,,,,,,4.0,21.0,,,1.0,,,,4.0,,,,,,,,,30000019006
2009,3,1.0,,,,,,,2.0,,,,,,1.0,24.0,,,,4.0,21.0,,,,30000001373
2009,1,5.0,7.0,,,,,2.0,,7.0,,4.0,,,,101.0,,,,,1.0,,,,10000017043
2009,3,1.0,,,,,,35.0,,,,,,,,,,,,,,,,,335-1805251
2009,1,237.0,2.0,,,,,,,8.0,,5.0,21.0,2.0,,179.0,5.0,,,,12.0,3.0,,,10000014206
2009,1,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,130-0164951
2009,3,9.0,,,,,,2.0,,,,,,,,7.0,,,,,2.0,,,,30000018630
2009,7,11.0,,,,,,1.0,,,,,,,,111.0,,,,,,,,,71705700001
2009,1,9.0,172.0,24.0,2.0,,,1.0,,59.0,,89.0,21.0,14.0,1.0,433.0,,,,,2.0,3.0,,,10000024571
2009,3,2.0,,,,,,2.0,,,1.0,,,,,18.0,,,,,11.0,,,,30000035417
2009,1,54.0,1.0,,,,,11.0,7.0,3.0,,4.0,1.0,1.0,1.0,77.0,,1.0,,,17.0,,,,10000014488
2009,3,29.0,,,,,,,,,,,,,3.0,21.0,,,,,,,,,338-3566754
2009,2,88.0,5.0,1.0,,,,9.0,5.0,4.0,,15.0,26.0,3.0,4.0,283.0,,,,,16.0,,,,20000542649
2009,5,4.0,,,,,,8.0,3.0,1.0,,,45.0,,1.0,51.0,,,,1.0,28.0,,,,50000066834
2009,7,8.0,3.0,,,,,,1.0,1.0,,6.0,,1.0,1.0,788.0,,3.0,1.0,4.0,4.0,,,1.0,71099500003
2009,7,1.0,2.0,,,,,2.0,2.0,,,,,,,1234.0,,,,,,,,,71308500004
2009,3,32.0,1.0,,,,,1.0,,1.0,,,,,,68.0,,,,,3.0,,,,30000029786
2009,3,1.0,2.0,,,,,1.0,2.0,,,,,1.0,,120.0,,,,,,,,,30000034234
2009,3,22.0,37.0,2.0,,,,,,,,5.0,1.0,,,97.0,,,,,,,,,30000023287
2009,1,222.0,2.0,1.0,,,,1.0,,1.0,,2.0,30.0,,3.0,44.0,1.0,,,,,,,,10000004284
2009,3,44.0,,,,,,12.0,,,,1.0,12.0,,,32.0,,,,,2.0,,,,30000029864
2009,4,4.0,,,3.0,,,1.0,,,,,,,1.0,144.0,,,,,,,,,40000008186
2009,3,12.0,,,,,,4.0,,,,3.0,64.0,,,81.0,,,,,6.0,1.0,,,30000011236
2009,7,1.0,,,4.0,,,,1.0,,,1.0,,,,216.0,,1.0,,,,,,,72122400001
2009,4,1.0,21.0,3.0,,,,9.0,1.0,15.0,,10.0,3.0,1.0,,46.0,1.0,,,,,,,,40000008146
2009,3,5.0,,,,,,,,,,,,,,9.0,,,,,,,,,30000057141
2009,7,1.0,21.0,3.0,37.0,,,,,,,,,1.0,1.0,537.0,,,,,,,,,77811300008
2009,1,2.0,1.0,,,,,5.0,1.0,,,1.0,,,,108.0,,,,,44.0,1.0,,,10000014328
2009,3,2.0,,,,,,1.0,,1.0,,,,,,3.0,,,,,,,,,30000034983
2009,1,55.0,1035.0,252.0,51.0,,,,22.0,6.0,,12.0,,121.0,2.0,2236.0,,,,,3.0,,,,116-1245395
2009,4,33.0,1.0,,,,,1.0,,,,,11.0,,,15.0,,,,,4.0,,,,40000003043
2009,2,26.0,,,,,,,,1.0,,2.0,,,,8.0,,,,,,,,,20001093317
2009,5,9.0,4.0,,,,,,4.0,,,1.0,,,1.0,13.0,,,,,,,,,50000005797
2009,7,8.0,2.0,1.0,30.0,,,3.0,78.0,2.0,3.0,,3.0,,3.0,1515.0,1.0,4.0,1.0,1.0,1.0,,,,77516800003
2009,7,1.0,1.0,,14.0,,,,,,,3.0,,,2.0,162.0,,,,,,,,,77667200009
2009,7,4.0,5.0,,26.0,,,,166.0,,,1.0,,2.0,,355.0,,,,,,,,,77245500008
2009,1,7.0,,,,,,2.0,,,,,1.0,1.0,1.0,25.0,,,,,2.0,,,,10000013516
2009,3,39.0,,,,,,4.0,,1.0,,,17.0,,,19.0,,,,,,,,,30000015752
2009,5,3.0,,,,,,1.0,2.0,1.0,,,,,,3.0,,,,,,,,,50000063829
2009,3,14.0,1.0,1.0,,,,,,,,2.0,,,,6.0,,,,,,,,,30000029031
2009,4,247.0,58.0,2.0,11.0,,,2.0,24.0,120.0,,1094.0,,9.0,3.0,4608.0,,,,,,,,,40000015115
2009,1,14.0,4.0,,,,,27.0,,3.0,,45.0,13.0,,3.0,243.0,,,,,43.0,16.0,,,10000009179
2009,3,101.0,1.0,,,,,4.0,,1.0,,13.0,16.0,,3.0,73.0,,,,,,,,,30000019459
2009,2,9.0,,,,,,1.0,,,,,2.0,,,49.0,,,,,,,,,20000671147
2009,5,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,50000068437
