year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2011,7,6.0,3.0,,43.0,,,,28.0,1.0,,7.0,,,2.0,9055.0,,,,,,,,,,722-3039688
2011,7,5.0,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,741-1592297
2011,7,5.0,7.0,,2.0,,,,1.0,,,,,,1.0,11.0,,,,2.0,2.0,,,,,794-3169132
2011,5,3.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,50000013583
2011,2,20.0,,,,,,,,,,3.0,,,1.0,16.0,,,,,,,,,,20000139843
2011,7,5.0,,,,,,,,,,,,,,,,,,,,,,,,77673900008
2011,3,8.0,1.0,,,,,1.0,5.0,,,14.0,,,,32.0,,,,,,,,,,30000058396
2011,5,74.0,2.0,,,,,,19.0,,,4.0,7.0,,1.0,175.0,,,,,,,,,,50000011570
2011,3,7.0,,,,,,11.0,,,,,,,,21.0,,,,,,,,,,30000034401
2011,5,144.0,,,,,,,,,,3.0,,,,,,,,,,,,,,538-3358941
2011,1,1.0,,,,,,2.0,,,,,,,,13.0,,,,,,,,,,10000000325
2011,3,31.0,,,,,,,,,,,,,,8.0,,,,,,,,,,338-3548886
2011,5,8.0,,,,,,,,,,,,,,,,,,,,,,,,50000060428
2011,3,21.0,,,,,,6.0,1.0,,,4.0,5.0,,,14.0,,,,,,,,,,30000017514
2011,7,30.0,12.0,,29.0,,,1.0,97.0,,,33.0,,1.0,,181.0,,,,,,,,,,768-0151632
2011,1,8.0,,,,,,,1.0,2.0,,,4.0,,,24.0,,,,,,,,,,10000010254
2011,1,3.0,,,,,,,,,,14.0,,,,42.0,,,,,,,,,,10000704492
2011,3,9.0,2.0,1.0,,,,11.0,,1.0,,1.0,1.0,,2.0,36.0,,,,,,,,,,30000016606
2011,2,1.0,,,,,,7.0,3.0,1.0,,,,,,32.0,,,,,,,,,,20000456157
2011,7,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,72482109991
2011,7,21.0,1.0,,,,,,,,,,,,,33.0,,,,,,,,,,77748100001
2011,2,99.0,13.0,2.0,,,,29.0,92.0,13.0,2.0,35.0,29.0,2.0,3.0,313.0,,5.0,,,12.0,,,,2.0,20000659855
2011,3,35.0,,,,,,1.0,1.0,,,,2.0,,,9.0,,,,,,,,,,30000030707
2011,7,59.0,,,,,,,3.0,,,,,,,,,,,,,,,,,742-1130287
2011,3,17.0,,,,,,1.0,1.0,1.0,,1.0,,,,20.0,,,,,3.0,,,,,30000011112
2011,5,1.0,1.0,,,,,,,,,4.0,,1.0,,92.0,,,,,,,,,,536-4569955
2011,3,5.0,1.0,,,,,3.0,,,,,,,2.0,32.0,,,,,,,,,,30000017749
