agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
5,50000001717,97.2222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000004584,98.8095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007064,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007217,95.4128440366973,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007590,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000007875,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000008854,97.6470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000010023,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000014176,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000015669,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000016360,100.0,,,,,,,,,,,,,,,36.144578313253,,,,,,,,,,,,
5,50000017107,100.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
5,50000018304,99.1189427312775,,,,,-43.4684684684685,,,,,,,,,,1.01419878296146,,,,,,,,,,,,
5,50000019541,97.2222222222222,,,,,,,,,,,,,,,1.33333333333333,,,,,,,,,,,,
5,50000022637,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000023283,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000023605,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7391304347826
5,50000024501,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024584,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024808,96.969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000060806,96.2962962962963,,,,,51.844262295082,,,,,,,,,,,,,,,,,,,,,,
5,50000060931,98.7012987012987,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000061527,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000062155,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000062160,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000062426,96.6183574879227,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000063249,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000064880,100.0,,,,,-35.9882005899705,,,,,,,,,,,,,,,,,,,,,,
5,50000066424,95.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066529,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067470,97.2972972972973,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067576,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067652,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068443,97.1830985915493,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068589,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000095053,95.2380952380952,,,,,44.0,,,45.1851851851852,,,,,,,,,,,,,,,,,,,
5,50000097085,98.1981981981982,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,70142309995,99.0654205607477,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71191300004,98.2300884955752,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,720-2867543,100.0,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,
7,720-8279218,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72003500009,98.8888888888889,,34.8549186128804,,,-29.6489917849141,,,,,,,,,,,,,,,,,,,,,,
7,72073700008,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,723-2711801,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,725-1567314,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,725-1629231,95.3846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,726-2926983,98.6111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,726-4803398,96.4856230031949,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,730-0051894,95.8579881656805,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,735-2285843,96.2962962962963,,,,,,,,,,,,,10.3448275862069,,100.0,,,,,,,,19.0,31.0,61.2903225806452,58.0645161290323,54.8387096774194
7,736-4489176,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,73833709994,100.0,,,,,-21.8251786695987,,,,,,,,,,,,,,,,,,,,,,
7,741-1718186,95.6032719836401,,,,,,,,,,,,,,,,,,,,99.6296296296296,,,,,,,
7,756-1750551,97.2350230414747,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,75785509997,100.0,,,,,-48.2758620689655,,,,,,,,,,,,,,,,,,,,,,
7,773-1506065,100.0,,,,,,,,59.4594594594595,,,,,,,,,,,,,,,,,,,
7,775-2821496,95.8133971291866,,,,,,,,33.6842105263158,,,,,,,,,,,,,,,,,,,
7,77559200004,100.0,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,
7,776-0512299,98.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77748100001,99.4897959183673,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,787-0691650,100.0,,,,,-48.1945113143958,,,,,,,,,,,,,,,,,,,,,,
7,795-4408086,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000021930,,31.2796208530806,,,,-20.0757575757576,,,,,,,,,,,,,,,,,,,,,,
3,30000012166,,20.8672086720867,,,,,0.813008130081301,14.4913039269465,,,,,,,,,,,,,,,,,,,,
5,50000008111,,17.6475562320311,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000027503,,17.8571428571429,,,,,10.7142857142857,38.091783058226,,,,,,,,,,,,,,,,,,,,25.0
7,726-3264687,,22.6415094339623,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000005766,,15.6082768462362,,,,,,,45.808062789868,,,,,,,,,,,,,,,,,,,
5,50000095107,,17.1171171171171,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000063958,,20.3812316715543,,,,31.9148936170213,,,,,,,,,,,,,,,,,,,,,,21.6741405082212
3,30000015289,,16.8686285824197,,,,-20.2240294614086,,,49.798038084247,,,,,,,,,,,,,,,,,,,
2,20003368635,,29.4117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,41.1764705882353
5,50000008169,,18.2242990654206,,,,,,,,,,,,,,,,,,,,,,,,,,26.6355140186916
5,50000065398,,17.0616113744076,,,,,,,,,,,,,,3.81679389312977,,,,,,,,,,,,
5,50000066973,,20.9756097560976,,,,,,,,,,,,,,,,,,,,,,,,,,23.8888888888889
9,90000060143,,17.6509475539885,,,,-28.5916601101495,1.18995152049361,15.587378146555,,,,,,,,,,,,,,,,,,,,22.3459877244828
7,795-4196389,,17.5257731958763,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000009620,,15.0684931506849,,,,,,,79.4520547945205,,,,,,,,,,,,,,,,,,,
5,50000005852,,30.2158273381295,,,,,,,40.2877697841727,,,,,,,,,,,,,,,,,,,
7,795-4671903,,28.171334431631,,,,-72.6761197389151,,,,,,,,,,,,,,,,,,,,,,
5,543-1847878,,15.0627615062762,,,,-24.5263157894737,,,,,,,,,,,,,,,,,,,,,,
3,30000057973,,16.1111111111111,,,,,9.44444444444444,17.0260674675073,,,,,,,,,,,,,,,,,,,,23.030303030303
1,10000702703,,15.2173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000000491,,17.7884615384615,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000012604,,25.0,,15.625,,,,,,,,9.375,,,,,,,,,,,,,,,,
7,727-0267182,,27.5140788415125,,,,84.9702380952381,,,,,,,,,,,,,,,,,,,,,,
7,71705700001,,18.3098591549296,,,,54.5200892857143,,,,,,,,,,,,,,,,,,,,,,
5,50000024534,,15.2766308835673,,,,,,,,,,,,,,,,,,,,,,,,,,
