year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2007,3,7.0,,,,,,,,,,1.0,5.0,,,9.0,4.0,,202.0,,,,,,,30000019980
2007,3,2.0,2.0,,,,,6.0,5.0,,,16.0,,,2.0,79.0,,,123.0,,17.0,,,,,30000027933
2007,2,3.0,455.0,76.0,,,,,95.0,17.0,,38.0,,41.0,15.0,4328.0,,,42706.0,4.0,13.0,106.0,,,,20002712969
2007,5,1.0,,,,,,,1.0,,,,,,,,,,47.0,,,,,,,50000011300
2007,2,102.0,9.0,2.0,,,,21.0,94.0,17.0,6.0,117.0,11.0,2.0,,281.0,3.0,30.0,2036.0,3.0,59.0,3.0,,,,20000659855
2007,3,11.0,,,,,,4.0,,,,,,,,9.0,,,53.0,,,,,,,30000015158
2007,7,23.0,,,,,,,,,,,,,,,,,270.0,,,,,,,737-1400739
2007,3,5.0,,,,,,1.0,,2.0,,3.0,27.0,,,34.0,,,35.0,,,,,,,30000011236
2007,1,61.0,,,,,,,1.0,,,,,,,1.0,,,220.0,,1.0,,,,,10000014510
2007,3,2.0,,,,,,1.0,2.0,,,,,,,20.0,,,48.0,,2.0,,,,,30000014471
2007,3,8.0,1.0,,,,,16.0,,1.0,,3.0,7.0,,,42.0,,,407.0,,1.0,,,,,30000029864
2007,5,27.0,,,,,,,,,,,,,,,,17.0,199.0,,,1.0,,,,50000004968
2007,1,57.0,1.0,,,,,6.0,,,,15.0,3.0,1.0,1.0,102.0,1.0,1.0,349.0,,6.0,,,,,10000000047
2007,3,24.0,11.0,1.0,,,,33.0,11.0,2.0,,7.0,5.0,1.0,2.0,128.0,,1.0,1248.0,,2.0,,,,,30000014149
2007,7,81.0,44.0,4.0,,,,3.0,2.0,28.0,,7.0,,1.0,,2075.0,,,1431.0,,36.0,40.0,,,,706-1554666
2007,2,2.0,1.0,,,,,,3.0,1.0,,1.0,,,1.0,,,,207.0,,,,,,,20003107441
2007,3,37.0,,,,,,6.0,1.0,,1.0,5.0,,,,61.0,,,358.0,,4.0,,,,,30000008136
2007,5,6.0,,,,,,,,,,,,,,,,,15.0,,,,,,,50000009759
2007,7,14.0,1.0,,,,,,1.0,,,,,1.0,,12.0,,,2651.0,,,,,,,71471109991
2007,7,1.0,,,,,,,,,,3.0,,,,142.0,,,629.0,,,,,,,75183509992
2007,7,7.0,,,,,,,13.0,,,1.0,,,1.0,11.0,,,20.0,,,,,,,70704610010
2007,3,16.0,30.0,6.0,,,,,,2.0,,1.0,8.0,,2.0,,,,329.0,,1.0,,,,,30000019919
2007,5,12.0,,,,,,5.0,9.0,6.0,,,1.0,,,105.0,,,1866.0,,9.0,28.0,,,,50000024694
2007,3,4.0,,,,,,,,,,,,,,8.0,,,38.0,,2.0,,,,,30000002467
2007,3,1.0,1.0,,,,,10.0,,,,3.0,34.0,,,37.0,,,208.0,,,,,,,30000012383
2007,7,6.0,1.0,,,,,,,1.0,,,,,,10.0,,,195.0,,,,,,,720-5609181
2007,3,345.0,50.0,3.0,,,,83.0,1.0,54.0,1.0,57.0,36.0,4.0,1.0,1470.0,,,2866.0,,59.0,2.0,,,,30000011813
