year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2013,3,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,30000015011
2013,5,,1.0,1.0,,,,,,15.0,,,,,,3.0,,,,,,,,,50000018304
2013,3,,1.0,,,,,45.0,,1.0,,,13.0,1.0,,32.0,,,,,,,,,30000024156
2013,2,,9.0,4.0,,,,7.0,6.0,1.0,,,3.0,2.0,,25.0,1.0,,,,,,,,20000828651
2013,3,,2.0,,,,,3.0,1.0,,,,,,,3.0,,,,,,,,,30000021258
2013,5,,4.0,,,,,,2.0,,,2.0,,,2.0,70.0,,,,,,,,,50000066642
2013,5,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,50000060801
2013,7,,48.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,795-4462959
2013,3,,3.0,,,,,,,1.0,,,,1.0,,22.0,,,,,,,,,30000029332
2013,3,,2.0,,,,,4.0,,2.0,,,8.0,,,57.0,,,,,,,,,30000013023
2013,5,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,50000024542
2013,2,,18.0,5.0,,,,21.0,,2.0,,,2.0,,,67.0,,,,,,,,,20000765019
2013,3,,1.0,,,,,,,3.0,,,,,,28.0,,,,,,,,,30000006186
2013,3,,15.0,,,,,5.0,,,,,4.0,,,13.0,,,,,,,,,30000059070
2013,1,,11.0,,,,,418.0,,154.0,22.0,,,2.0,,4.0,,,,,,,,,10000708527
2013,5,,13.0,3.0,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,50000068373
2013,1,,3.0,1.0,,,,,,1.0,,,3.0,,,25.0,,,,,,,,,10000017174
2013,9,,113.0,24.0,91.0,,2.0,204.0,23.0,38.0,,622.0,17.0,15.0,,11261.0,,,,,,,,,90000501105
2013,7,,9.0,,1.0,,,,33.0,,,24.0,,,3.0,52.0,,,,,,,,,726-0455770
2013,3,,4.0,1.0,,,,55.0,2.0,5.0,,26.0,31.0,4.0,5.0,281.0,,,,,7.0,,,,30000010634
2013,1,,13.0,1.0,5.0,,,7.0,,,,,,,,399.0,,,,,,,,,10000023850
2013,5,,2.0,,,,,2.0,,,,,1.0,,,6.0,,,,,,,,,50000067864
2013,7,,8.0,1.0,10.0,,,,,,,,,,,13.0,,,,,,,,,732-0273125
2013,1,,2.0,,,,,3.0,,,,,3.0,,,9.0,,,,,,,,,10000015748
2013,1,,1.0,,,,,1.0,,,,,,,,25.0,,,,,,,,,10000703267
2013,2,,27.0,2.0,,,,40.0,2.0,6.0,,7.0,33.0,3.0,3.0,323.0,,,,,2.0,,,,20000542649
2013,5,,1.0,,,,,,,9.0,,2.0,,,,,,,,,,,,,50000068458
2013,7,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,783-0446200
