agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q063,q065,q070,q071,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000018430,95.5882352941177,,,,,-77.3391812865497,,,,50.9677419354839,,,,,,,24.5033112582781,,,,,,,,,,,,,
1,10000022152,95.4545454545455,,,,,-79.9129353233831,3.71517027863777,16.1341454042422,,,,,,,,,8.97435897435897,,,,,,,,,,,,,25.077399380805
1,10000022233,95.4887218045113,,,,,-70.5357142857143,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023521,97.6744186046512,,,,,,,,,,,,,,,,63.6363636363636,,,,,,,,,,,,,
1,10000023681,99.0610328638498,,,,,-64.3407122232916,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024202,98.9130434782609,,,,,,,,,56.0606060606061,,,,,,,4.06091370558376,,,,,,,,,,,,,
1,10000024356,97.2972972972973,,,,,,,,,79.8816568047337,,,,,,,6.09756097560976,,,,,,,,,,,,,
1,10000024357,96.7741935483871,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
1,10000024640,100.0,,,,,,2.4390243902439,17.6721237945728,,,,,,,,,7.31707317073171,,,,,,,,,23.0,41.0,56.0975609756098,56.0975609756098,56.0975609756098
1,10000024660,96.8181818181818,,,,,,,,,,,,,,,,9.68992248062016,,,,,,,,,,,,,22.0149253731343
1,120-0013136,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-2784791,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-3371374,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-4648575,96.078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,141-2258563,95.1612903225807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,165-0904482,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,172-1459489,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,174-2815577,95.9770114942529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8316831683168
2,20000028349,95.6521739130435,,,,,,3.63636363636364,11.4847134924025,,,,,,,,,25.2336448598131,,,,,,,,,,,,,
2,20000056557,96.2962962962963,,,,,,8.33333333333333,15.9940691077875,,,,,,,,,4.54545454545455,,,,,,,,,,,,,45.8333333333333
2,20000132853,100.0,,,,,-77.3255813953488,3.41880341880342,11.5210180735125,,36.7521367521368,,,,,,,5.26315789473684,,,,,,,,,,,,,36.7521367521368
2,20000491251,99.0384615384615,,,,,-66.9172932330827,,,,82.9545454545455,,,,,,,4.65116279069767,,,,,,,,,,,,,
2,20000516855,100.0,,,,,,6.66666666666667,39.0017597184451,,,,,,,,,15.0,,,,,,,,,,,,,38.3333333333333
2,20000637451,97.5,,,,,-89.7529069767442,2.12765957446809,19.811089534511,,,,,,,,,9.16030534351145,,,,,,,,,,,,,30.4964539007092
2,20000658924,95.5555555555556,,,,,-78.5714285714286,,,,91.9540229885057,,,,,,,30.4093567251462,,,,,,,,,,,,,
2,20000713926,98.7096774193548,,,,,-56.271186440678,,,,,,,,,,,,,,,,,,,,,,,,
2,20000749635,97.4504249291785,,,,,-62.9591836734694,,,,,,,,,,,,,,,,,,,,,,,,
2,20000763556,95.6521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000819855,95.3846153846154,,,,,-74.4541484716157,,,,,,,,,,,2.25225225225225,,,,,,,,,,,,,
2,20000988452,97.0588235294118,,,,,,,,,,,,,,,,2.40963855421687,,,,,,,,,,,,,37.9310344827586
2,20001917301,98.7730061349693,,,,,-41.7218543046358,,,,,,,,,,,,,,,,,,,,,,,,
2,20002303086,96.551724137931,,,,,,3.07692307692308,41.9673751853683,,,,,,,,,,,,,,,,,,,,,,33.8461538461538
2,20002685296,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002712978,95.7983193277311,,,,,-63.986013986014,,,,,,,,,,,1.12994350282486,,,,,,,,,112.0,206.0,54.3689320388349,54.3689320388349,54.3689320388349
2,20003120646,98.2919254658385,,,,,-64.8802017654477,,,,,,,,,,,,,,,,,,,,,,,,
2,20003395293,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7058823529412
2,20003402575,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003607062,97.3684210526316,,,,,,,,,43.6619718309859,,,,,,,7.46268656716418,,,,,,,,,,,,,25.3521126760563
2,20003693533,97.3684210526316,,,,,-90.9969088098918,,,,,,,,,,,,,,,,,,,,,,,,
3,30000000077,97.2972972972973,,,,,-76.2867647058823,,,,33.3333333333333,,,,,,,9.375,,,,,,,,,,,,,
3,30000001184,95.1612903225807,,,,,-71.2222222222222,,,,49.4208494208494,,,,,,,2.52100840336134,,,,,,,,,,,,,
