year,rate_spread,count
2014,04.25,38.0
2014,04.26,35.0
2014,04.27,22.0
2014,04.28,32.0
2014,04.29,26.0
2014,04.30,29.0
2014,04.31,24.0
2014,04.32,32.0
2014,04.33,29.0
2014,04.34,22.0
2014,04.35,21.0
2014,04.36,28.0
2014,04.37,24.0
2014,04.38,23.0
2014,04.39,13.0
2014,04.40,34.0
2014,04.41,12.0
2014,04.42,28.0
2014,04.43,21.0
2014,04.44,21.0
2014,04.45,13.0
2014,04.46,13.0
2014,04.47,18.0
2014,04.48,16.0
2014,04.49,15.0
2014,04.50,39.0
2014,04.51,22.0
2014,04.52,21.0
2014,04.53,20.0
2014,04.54,23.0
2014,04.55,23.0
2014,04.56,11.0
2014,04.57,21.0
2014,04.58,19.0
2014,04.59,12.0
2014,04.60,11.0
2014,04.61,17.0
2014,04.62,14.0
2014,04.63,23.0
2014,04.64,24.0
2014,04.65,12.0
2014,04.66,14.0
2014,04.67,22.0
2014,04.68,16.0
2014,04.69,19.0
2014,04.70,16.0
2014,04.71,11.0
2014,04.72,17.0
2014,04.73,17.0
2014,04.74,14.0
2014,04.75,18.0
2014,04.76,13.0
2014,04.77,13.0
2014,04.78,17.0
2014,04.79,11.0
2014,04.80,8.0
2014,04.81,13.0
2014,04.82,13.0
2014,04.83,13.0
2014,04.84,11.0
2014,04.85,17.0
2014,04.86,16.0
2014,04.87,14.0
2014,04.88,32.0
2014,04.89,10.0
2014,04.90,13.0
2014,04.91,7.0
2014,04.92,20.0
2014,04.93,12.0
2014,04.94,19.0
2014,04.95,14.0
2014,04.96,5.0
2014,04.97,13.0
2014,04.98,9.0
2014,04.99,13.0
2014,05.00,26.0
2014,05.01,9.0
2014,05.02,14.0
2014,05.03,14.0
2014,05.04,7.0
2014,05.05,14.0
2014,05.06,6.0
2014,05.07,10.0
2014,05.08,9.0
2014,05.09,9.0
2014,05.10,15.0
2014,05.11,11.0
2014,05.12,6.0
2014,05.13,10.0
2014,05.14,6.0
2014,05.15,7.0
2014,05.16,13.0
2014,05.17,18.0
2014,05.18,8.0
2014,05.19,15.0
2014,05.20,7.0
2014,05.21,12.0
2014,05.22,11.0
2014,05.23,5.0
2014,05.24,7.0
2014,05.25,8.0
2014,05.26,7.0
2014,05.27,9.0
2014,05.28,7.0
2014,05.29,7.0
2014,05.30,3.0
2014,05.31,9.0
2014,05.32,8.0
2014,05.33,9.0
2014,05.34,5.0
2014,05.35,6.0
2014,05.36,12.0
2014,05.37,8.0
2014,05.38,5.0
2014,05.39,9.0
2014,05.40,12.0
2014,05.41,7.0
2014,05.42,7.0
2014,05.43,6.0
2014,05.44,9.0
2014,05.45,3.0
2014,05.46,5.0
2014,05.47,7.0
2014,05.48,2.0
2014,05.49,8.0
2014,05.50,11.0
2014,05.51,9.0
2014,05.52,10.0
2014,05.53,6.0
2014,05.54,7.0
2014,05.55,10.0
2014,05.56,7.0
2014,05.57,7.0
2014,05.58,8.0
2014,05.59,11.0
2014,05.60,3.0
2014,05.61,5.0
2014,05.62,12.0
2014,05.63,4.0
2014,05.64,5.0
2014,05.65,8.0
2014,05.66,7.0
2014,05.67,6.0
2014,05.68,5.0
2014,05.69,4.0
2014,05.70,10.0
2014,05.71,6.0
2014,05.72,2.0
2014,05.73,4.0
2014,05.74,6.0
2014,05.75,9.0
2014,05.76,13.0
2014,05.77,3.0
2014,05.78,8.0
2014,05.79,5.0
2014,05.80,6.0
2014,05.81,4.0
2014,05.82,3.0
2014,05.83,5.0
2014,05.84,1.0
2014,05.85,1.0
2014,05.86,3.0
2014,05.87,3.0
2014,05.88,1.0
2014,05.89,9.0
2014,05.90,6.0
2014,05.91,2.0
2014,05.92,2.0
2014,05.93,4.0
2014,05.94,3.0
2014,05.95,7.0
2014,05.96,2.0
2014,05.97,2.0
2014,05.98,4.0
2014,05.99,3.0
2014,06.00,44.0
2014,06.01,4.0
2014,06.02,3.0
2014,06.03,6.0
2014,06.04,1.0
2014,06.05,2.0
2014,06.06,2.0
2014,06.07,1.0
2014,06.08,2.0
2014,06.09,3.0
2014,06.10,2.0
2014,06.11,4.0
2014,06.12,4.0
2014,06.13,2.0
2014,06.14,2.0
2014,06.15,1.0
2014,06.16,4.0
2014,06.17,3.0
2014,06.18,3.0
2014,06.19,1.0
2014,06.20,2.0
2014,06.21,3.0
2014,06.22,2.0
2014,06.23,3.0
2014,06.25,6.0
2014,06.26,2.0
2014,06.27,2.0
2014,06.28,2.0
2014,06.29,2.0
